comparison,condition,baseline_condition,n_pairs,judged_pairs,condition_wins,baseline_wins,ties,condition_win_rate_all,condition_win_rate_excluding_ties,tie_rate,mean_task_relevance_delta,mean_functional_correctness_delta,mean_era_neutrality_delta,mean_anachronism_handling_delta,mean_usefulness_delta,mean_leakage_risk_delta
proposed_vs_length_controlled,proposed,length_controlled,100,100,88,11,1,0.88,0.8888888888888888,0.01,1.34,2.1,-0.1,0.43,1.84,-0.07
proposed_vs_proposed_no_validator,proposed,proposed_no_validator,100,100,0,0,100,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
proposed_vs_raw,proposed,raw,100,100,79,18,3,0.79,0.8144329896907216,0.03,1.01,1.74,0.17,0.38,1.45,0.13
proposed_vs_rule_only,proposed,rule_only,100,100,45,51,4,0.45,0.46875,0.04,0.09,-0.22,0.24,0.43,0.11,-0.16
